X,Y,g1,g2,g3,g4,r1,r2,r3,r4,r5,r6,a1,a2,a3,a4,f1,f2,label
239940.9766,4133324.768,0.554426,0.617498,0.999734,0.773235,5.75E-09,0.000548118,0.266808,4.44E-06,4.10E-05,1,0.000783767,0.00029389,0.0604407,0.983052,0.00018807,0,0
239940.9766,4133174.768,0.554426,0.617498,0.999734,0.773235,5.87E-09,0.000597049,0.450913,4.30E-06,0.000036344,1,0.000981315,0.000316914,0.0373808,0.998812,0.000216994,0,0
240090.9766,4133474.768,0.554426,0.617498,0.999734,0.773235,5.68E-09,0.000486872,0.266808,4.96E-06,4.89E-05,1,0.00057969,0.000229045,0.0814708,0.852593,0.000157311,0,0
240090.9766,4133324.768,0.554426,0.617498,0.999734,0.773235,5.80E-09,0.000448485,0.450913,4.80E-06,4.31E-05,1,0.000716139,0.00024608,0.049311,0.963341,0.000168364,0,0
240090.9766,4133174.768,0.554426,0.617498,0.999734,0.773235,5.92E-09,0.000486872,0.54568,4.64E-06,3.82E-05,1,0.000892977,0.000264658,0.0309627,0.983052,0.000193025,0,0
240090.9766,4133024.768,0.554426,0.617498,0.999734,0.773235,5.92E-09,0.000486872,0.54568,4.64E-06,3.82E-05,1,0.000892977,0.000264658,0.0309627,0.983052,0.000206758,0,0
240240.9766,4133474.768,0.554426,0.617498,0.999734,0.773235,5.73E-09,0.000400208,0.334109,5.38E-06,5.15E-05,1,0.000532446,0.000193418,0.0658792,0.775812,0.00014899,0,0
240240.9766,4133324.768,0.554426,0.617498,0.999734,0.773235,5.85E-09,0.000369808,0.54568,5.20E-06,4.54E-05,1,0.000655392,0.000207305,0.0404871,0.852593,0.000159222,0,0
240240.9766,4133174.768,0.554426,0.617498,0.999734,0.773235,5.97E-09,0.000400208,0.775812,5.03E-06,4.10E-05,1,0.000814007,0.000222406,0.0258007,0.911139,0.000181978,0,0
240240.9766,4133024.768,0.554426,0.617498,0.999734,0.773235,5.97E-09,0.000400208,0.775812,5.03E-06,4.10E-05,1,0.000814007,0.000222406,0.0258007,0.911139,0.00019461,0,0
240390.9766,4150874.768,0.628984,0.468252,1.02153,0.620525,1.10E-09,0.0154375,0.99979,2.45E-06,2.37E-05,0.0891221,0.334109,0.911139,0.00126315,0.379554,0.0106342,0,1
240390.9766,4150724.768,0.628984,0.468252,1.02153,0.620525,1.12E-09,0.0232488,0.99979,2.63E-06,2.64E-05,0.0536067,0.266808,0.983052,0.0013976,0.379554,0.00926869,0,1
240390.9766,4150574.768,0.628984,0.468252,1.02153,0.620525,1.13E-09,0.0361762,1,2.82E-06,0.000029611,0.0334507,0.212035,0.998812,0.00154957,0.304655,0.0070402,0,1
240390.9766,4133474.768,0.554426,0.617498,0.999734,0.773235,5.78E-09,0.000331408,0.41426,5.84E-06,5.43E-05,1,0.000489747,0.000164238,0.0536067,0.739468,0.000133535,0,0
